Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: START High Rate Sequencer @ sec=0, msec=287
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer thread @ sec=0, msec=290
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler thread @ sec=0, msec=291
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis thread @ sec=0, msec=291
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote thread @ sec=0, msec=291
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc thread @ sec=0, msec=291
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File thread @ sec=0, msec=291
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Processed Image Save to File thread @ sec=0, msec=291
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Second Tick Debug thread @ sec=0, msec=291
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 1 @ sec=0, msec=307
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 2 @ sec=0, msec=325
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 1 @ sec=0, msec=325
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 3 @ sec=0, msec=342
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 4 @ sec=0, msec=363
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 2 @ sec=0, msec=363
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 5 @ sec=0, msec=380
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 6 @ sec=0, msec=396
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 3 @ sec=0, msec=396
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 1 @ sec=0, msec=396
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 1 @ sec=0, msec=396
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 1 @ sec=0, msec=396
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 7 @ sec=0, msec=413
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 8 @ sec=0, msec=430
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 4 @ sec=0, msec=430
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 9 @ sec=0, msec=447
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 10 @ sec=0, msec=464
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 5 @ sec=0, msec=464
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 11 @ sec=0, msec=481
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 12 @ sec=0, msec=497
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 6 @ sec=0, msec=497
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 2 @ sec=0, msec=497
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 2 @ sec=0, msec=497
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc release 1 @ sec=0, msec=497
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 2 @ sec=0, msec=497
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Processed Image Save to File release 1 @ sec=0, msec=497
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 13 @ sec=0, msec=515
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 14 @ sec=0, msec=532
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 7 @ sec=0, msec=532
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 15 @ sec=0, msec=548
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 16 @ sec=0, msec=565
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 8 @ sec=0, msec=565
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 17 @ sec=0, msec=582
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 18 @ sec=0, msec=599
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 9 @ sec=0, msec=599
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 3 @ sec=0, msec=599
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 3 @ sec=0, msec=599
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 3 @ sec=0, msec=599
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 19 @ sec=0, msec=616
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 20 @ sec=0, msec=633
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 10 @ sec=0, msec=633
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 21 @ sec=0, msec=650
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 22 @ sec=0, msec=667
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 11 @ sec=0, msec=667
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 23 @ sec=0, msec=683
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 24 @ sec=0, msec=701
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 12 @ sec=0, msec=701
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 4 @ sec=0, msec=701
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 4 @ sec=0, msec=701
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc release 2 @ sec=0, msec=701
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 4 @ sec=0, msec=701
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Processed Image Save to File release 2 @ sec=0, msec=701
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 25 @ sec=0, msec=718
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 26 @ sec=0, msec=736
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 13 @ sec=0, msec=736
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 27 @ sec=0, msec=753
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 28 @ sec=0, msec=770
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 14 @ sec=0, msec=770
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 29 @ sec=0, msec=787
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 30 @ sec=0, msec=804
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 15 @ sec=0, msec=804
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 5 @ sec=0, msec=804
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 5 @ sec=0, msec=804
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 5 @ sec=0, msec=804
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 31 @ sec=0, msec=821
