INITIAL Pthread policy is SCHED_OTHER
ADJUSTED Pthread policy is SCHED_FIFO
main thread running on CPU=5, CPUs = 0 1 2 3 4 5
starter thread running on CPU=3

Thread idx=0, sum[0...0]=0, running on CPU=3, start=1780597178.235708, stop=1780597178.239728
Thread idx=1, sum[0...1]=1, running on CPU=3, start=1780597178.239882, stop=1780597178.244445
Thread idx=2, sum[0...2]=3, running on CPU=3, start=1780597178.244481, stop=1780597178.251278
Thread idx=3, sum[0...3]=6, running on CPU=3, start=1780597178.251428, stop=1780597178.260877
Thread idx=4, sum[0...4]=10, running on CPU=3, start=1780597178.260920, stop=1780597178.273410
Thread idx=5, sum[0...5]=15, running on CPU=3, start=1780597178.273447, stop=1780597178.289062
Thread idx=6, sum[0...6]=21, running on CPU=3, start=1780597178.289101, stop=1780597178.308185
Thread idx=7, sum[0...7]=28, running on CPU=3, start=1780597178.308223, stop=1780597178.330945
Thread idx=8, sum[0...8]=36, running on CPU=3, start=1780597178.330981, stop=1780597178.357538
Thread idx=9, sum[0...9]=45, running on CPU=3, start=1780597178.357579, stop=1780597178.388295
Thread idx=10, sum[0...10]=55, running on CPU=3, start=1780597178.388329, stop=1780597178.423616
Thread idx=11, sum[0...11]=66, running on CPU=3, start=1780597178.423654, stop=1780597178.463180
Thread idx=12, sum[0...12]=78, running on CPU=3, start=1780597178.463218, stop=1780597178.509433
Thread idx=13, sum[0...13]=91, running on CPU=3, start=1780597178.509471, stop=1780597178.560033
Thread idx=14, sum[0...14]=105, running on CPU=3, start=1780597178.560069, stop=1780597178.612249
Thread idx=15, sum[0...15]=120, running on CPU=3, start=1780597178.612286, stop=1780597178.668771
Thread idx=16, sum[0...16]=136, running on CPU=3, start=1780597178.668809, stop=1780597178.729782
Thread idx=17, sum[0...17]=153, running on CPU=3, start=1780597178.729819, stop=1780597178.795267
Thread idx=18, sum[0...18]=171, running on CPU=3, start=1780597178.795305, stop=1780597178.865208
Thread idx=19, sum[0...19]=190, running on CPU=3, start=1780597178.865243, stop=1780597178.939624
Thread idx=20, sum[0...20]=210, running on CPU=3, start=1780597178.939663, stop=1780597179.018594
Thread idx=21, sum[0...21]=231, running on CPU=3, start=1780597179.018632, stop=1780597179.102104
Thread idx=22, sum[0...22]=253, running on CPU=3, start=1780597179.102160, stop=1780597179.235953
Thread idx=23, sum[0...23]=276, running on CPU=3, start=1780597179.236148, stop=1780597179.328571
Thread idx=24, sum[0...24]=300, running on CPU=3, start=1780597179.328618, stop=1780597179.425520
Thread idx=25, sum[0...25]=325, running on CPU=3, start=1780597179.425564, stop=1780597179.526897
Thread idx=26, sum[0...26]=351, running on CPU=3, start=1780597179.526948, stop=1780597179.633320
Thread idx=27, sum[0...27]=378, running on CPU=3, start=1780597179.633366, stop=1780597179.744237
Thread idx=28, sum[0...28]=406, running on CPU=3, start=1780597179.744280, stop=1780597179.861931
Thread idx=29, sum[0...29]=435, running on CPU=3, start=1780597179.862002, stop=1780597179.984168
Thread idx=30, sum[0...30]=465, running on CPU=3, start=1780597179.984210, stop=1780597180.108106
Thread idx=31, sum[0...31]=496, running on CPU=3, start=1780597180.108167, stop=1780597180.285647
Thread idx=32, sum[0...32]=528, running on CPU=3, start=1780597180.285733, stop=1780597180.418457
Thread idx=33, sum[0...33]=561, running on CPU=3, start=1780597180.418506, stop=1780597180.555731
Thread idx=34, sum[0...34]=595, running on CPU=3, start=1780597180.555769, stop=1780597180.697462
Thread idx=35, sum[0...35]=630, running on CPU=3, start=1780597180.697620, stop=1780597180.843802
Thread idx=36, sum[0...36]=666, running on CPU=3, start=1780597180.843853, stop=1780597180.994528
Thread idx=37, sum[0...37]=703, running on CPU=3, start=1780597180.994571, stop=1780597181.149772
Thread idx=38, sum[0...38]=741, running on CPU=3, start=1780597181.149830, stop=1780597181.358675
Thread idx=39, sum[0...39]=780, running on CPU=3, start=1780597181.358767, stop=1780597181.522778
Thread idx=40, sum[0...40]=820, running on CPU=3, start=1780597181.522829, stop=1780597181.691427
Thread idx=41, sum[0...41]=861, running on CPU=3, start=1780597181.691501, stop=1780597181.864593
Thread idx=42, sum[0...42]=903, running on CPU=3, start=1780597181.864641, stop=1780597182.042906
Thread idx=43, sum[0...43]=946, running on CPU=3, start=1780597182.042951, stop=1780597182.274950
Thread idx=44, sum[0...44]=990, running on CPU=3, start=1780597182.275046, stop=1780597182.464713
Thread idx=45, sum[0...45]=1035, running on CPU=3, start=1780597182.464761, stop=1780597182.658870
Thread idx=46, sum[0...46]=1081, running on CPU=3, start=1780597182.658920, stop=1780597182.854519
Thread idx=47, sum[0...47]=1128, running on CPU=3, start=1780597182.854561, stop=1780597183.054649
Thread idx=48, sum[0...48]=1176, running on CPU=3, start=1780597183.054698, stop=1780597183.308443
Thread idx=49, sum[0...49]=1225, running on CPU=3, start=1780597183.308533, stop=1780597183.517507
Thread idx=50, sum[0...50]=1275, running on CPU=3, start=1780597183.517567, stop=1780597183.731029
Thread idx=51, sum[0...51]=1326, running on CPU=3, start=1780597183.731079, stop=1780597183.949006
Thread idx=52, sum[0...52]=1378, running on CPU=3, start=1780597183.949051, stop=1780597184.171549
Thread idx=53, sum[0...53]=1431, running on CPU=3, start=1780597184.171611, stop=1780597184.447813
Thread idx=54, sum[0...54]=1485, running on CPU=3, start=1780597184.447910, stop=1780597184.679300
Thread idx=55, sum[0...55]=1540, running on CPU=3, start=1780597184.679352, stop=1780597184.915234
Thread idx=56, sum[0...56]=1596, running on CPU=3, start=1780597184.915284, stop=1780597185.155612
Thread idx=57, sum[0...57]=1653, running on CPU=3, start=1780597185.155674, stop=1780597185.449535
Thread idx=58, sum[0...58]=1711, running on CPU=3, start=1780597185.449609, stop=1780597185.699774
Thread idx=59, sum[0...59]=1770, running on CPU=3, start=1780597185.699831, stop=1780597185.954494
Thread idx=60, sum[0...60]=1830, running on CPU=3, start=1780597185.954543, stop=1780597186.265409
Thread idx=61, sum[0...61]=1891, running on CPU=3, start=1780597186.265510, stop=1780597186.531774
Thread idx=62, sum[0...62]=1953, running on CPU=3, start=1780597186.531845, stop=1780597186.799249
Thread idx=63, sum[0...63]=2016, running on CPU=3, start=1780597186.799301, stop=1780597187.071209
TEST COMPLETE
